run_id,base_material,filler_material,preheat_c,v_step_mm_s,l_star,test_date_raw,test_date_iso,current_a,fmax_n
B7F0SL5_7,7075,Autogenous,,0.05,0,45953,2025-10-23,180,
B7F0SL11_17,7075,Autogenous,,0.07,0,45953,2025-10-23,180,
B7F0SL11_14,7075,Autogenous,,0.08,0.079,45953,2025-10-23,180,
B7F0SL3_9,7075,Autogenous,,0.1,0.599,45953,2025-10-23,180,
B7F0SL3_16,7075,Autogenous,,0.1,0.169,45953,2025-10-23,180,
B7F0SL10_13,7075,Autogenous,,0.105,0.121,45953,2025-10-23,180,
B7F0SL6_12,7075,Autogenous,,0.11,1,45953,2025-10-23,180,768
B7F0SL7_15,7075,Autogenous,,0.115,1,45953,2025-10-23,180,1497
B7F0SL12_2,7075,Autogenous,,0.13,1,45954,2025-10-24,180,864
B7F0PHSL2_18,7075,Autogenous,90,0.05,0,45953,2025-10-23,180,
B7F0PHSL3_23,7075,Autogenous,90,0.07,0,45953,2025-10-23,180,
B7F0PHSL4_19,7075,Autogenous,90,0.08,0,45953,2025-10-23,180,
B7F0PHSL5_20,7075,Autogenous,90,0.1,0.2300773896674337,45953,2025-10-23,180,
B7F0PHSL6_22,7075,Autogenous,90,0.105,0.8205922633079632,45953,2025-10-23,180,
B7F0PHSL6_24,7075,Autogenous,90,0.105,0.7894830850569786,45953,2025-10-23,180,
B7F0PHSL7_21,7075,Autogenous,90,0.11,1,45953,2025-10-23,180,1600
B7F0PHSL8_25,7075,Autogenous,90,0.115,0.9172117887036642,45953,2025-10-23,180,
B7F0PHSL9_3,7075,Autogenous,90,0.13,1,24/10/20205,,180,968
B7FT7SL2_6,7075,7075TiC,,0.07,0,45954,2025-10-24,180,
B7FT7SL3_7,7075,7075TiC,,0.1,0,45954,2025-10-24,180,
B7FT7SL4_8,7075,7075TiC,,0.11,0.032,45954,2025-10-24,180,
B7FT7SL4_12,7075,7075TiC,,0.11,0.054,45954,2025-10-24,180,
B7FT7SL8_13,7075,7075TiC,,0.113,1,45954,2025-10-24,180,629
B7FT7SL7_11,7075,7075TiC,,0.115,1,45954,2025-10-24,180,682
B7FT7SL6_10,7075,7075TiC,,0.12,1,45954,2025-10-24,180,516
B7FT7SL5_9,7075,7075TiC,,0.13,1,45954,2025-10-24,180,744
B7F5SL3_4,7075,ER5356,,0.07,0,45956,2025-10-26,180,
B7F5SL4_5,7075,ER5356,,0.09,0.066,45956,2025-10-26,180,
B7F5SL5_6,7075,ER5356,,0.1,0,45956,2025-10-26,180,
B7F5SL6_7,7075,ER5356,,0.12,0,45956,2025-10-26,180,
B7F5SL8_9,7075,ER5356,,0.13,0,45956,2025-10-26,180,
B7F5SL10_11,7075,ER5356,,0.132,0,45956,2025-10-26,180,
B7F5SL9_10,7075,ER5356,,0.135,0.757,45956,2025-10-26,180,
B7F5SL7_8,7075,ER5356,,0.14,1,45956,2025-10-26,180,1001
B6F0SL_15,6061,Autogenous,,0.02,0,46079,2026-02-26,160,
B6F0SL_16,6061,Autogenous,,0.04,0,46079,2026-02-26,160,
B6F0SL_17,6061,Autogenous,,0.06,1,46079,2026-02-26,160,317
B6F0SL_18,6061,Autogenous,,0.05,1,46079,2026-02-26,160,390
B6F0SL_19,6061,Autogenous,,0.045,0.8564516129032258,46079,2026-02-26,160,851
B6F0SL_20,6061,Autogenous,,0.042,0,46079,2026-02-26,160,
B6F0SL_21,6061,Autogenous,,0.044,1,46079,2026-02-26,160,366
B6F0SL_24,6061,Autogenous,,0.045,0,46079,2026-02-26,160,
B6F5SL_4,6061,ER5356,,0.05,0,46084,2026-03-03,160,
B6F5SL_5,6061,ER5356,,0.07,0,46084,2026-03-03,160,
B6F5SL_6,6061,ER5356,,0.09,1,46084,2026-03-03,160,253
B6F5SL_7,6061,ER5356,,0.08,0,46084,2026-03-03,160,
B6F5SL_8,6061,ER5356,,0.085,0.7154994259471872,46084,2026-03-03,160,
B6F5SL_9,6061,ER5356,,0.082,1,46084,2026-03-03,160,382
B6F5SL_10,6061,ER5356,,0.082,0.3203883495145631,46084,2026-03-03,160,
B6F5SL_11,6061,ER5356,,0.087,0,46084,2026-03-03,160,
