folder,extension,file_count,total_size_mb
10_2025_TMW,.jpg,80,31.07
10_2025_TMW,.json,1,0.001
10_2025_TMW,.pdf,1,21.204
10_2025_TMW,.py,3,0.1
10_2025_TMW,.xlsx,3,0.033
10_2025_TMW,.xml,40,906.135
2025_12_17,.jpg,30,8.637
2025_12_17,.json,10,0.021
2025_12_17,.xlsx,3,0.029
2025_12_17,.xml,20,117.4
2025_12_29_TMCA,.jpg,24,6.617
2025_12_29_TMCA,.json,9,0.016
2025_12_29_TMCA,.png,3,0.192
2025_12_29_TMCA,.xlsx,3,0.027
2025_12_29_TMCA,.xml,15,93.369
2025_12_30_TMCA,.jpg,81,21.779
2025_12_30_TMCA,.json,29,0.063
2025_12_30_TMCA,.pdf,1,29.068
2025_12_30_TMCA,.png,1,0.049
2025_12_30_TMCA,.xlsx,3,0.042
2025_12_30_TMCA,.xml,54,318.458
2025_4_TMW,.jpg,74,29.784
2025_4_TMW,.json,1,0.001
2025_4_TMW,.py,2,0.079
2025_4_TMW,.xlsx,3,0.033
2025_4_TMW,.xml,37,841.14
2026_1_7_TMW,.jpg,12,4.567
2026_1_7_TMW,.py,2,0.082
2026_1_7_TMW,.xlsx,2,0.016
2026_1_7_TMW,.xml,14,69.585
2026_2_22_TMCA,.jpg,12,3.056
2026_2_22_TMCA,.json,4,0.007
2026_2_22_TMCA,.png,1,0.078
2026_2_22_TMCA,.xlsx,3,0.027
2026_2_22_TMCA,.xml,8,47.004
2026_2_22_TMW,.jpg,24,7.513
2026_2_22_TMW,.py,2,0.078
2026_2_22_TMW,.xlsx,3,0.025
2026_2_22_TMW,.xml,24,134.313
2026_2_26_TMCA,.jpg,21,5.639
2026_2_26_TMCA,.json,8,0.012
2026_2_26_TMCA,.xlsx,3,0.024
2026_2_26_TMCA,.xml,13,82.429
2026_2_26_TMW,.jpg,34,13.533
2026_2_26_TMW,.json,1,0.001
2026_2_26_TMW,.png,1,0.09
2026_2_26_TMW,.py,1,0.05
2026_2_26_TMW,.xlsx,3,0.029
2026_2_26_TMW,.xml,35,198.286
2026_3_15_TMCA,.jpg,36,9.63
2026_3_15_TMCA,.json,14,0.027
2026_3_15_TMCA,.xlsx,4,0.035
2026_3_15_TMCA,.xml,24,141.34
2026_3_27_TMCA,.jpg,33,7.99
2026_3_27_TMCA,.json,13,0.019
2026_3_27_TMCA,.png,1,0.068
2026_3_27_TMCA,.xlsx,3,0.027
2026_3_27_TMCA,.xml,22,127.454
2026_3_29_TMCA,.jpg,15,4.012
2026_3_29_TMCA,.json,7,0.011
2026_3_29_TMCA,.xlsx,3,0.026
2026_3_29_TMCA,.xml,10,58.818
2026_3_6_TMCA,.jpg,6,1.612
2026_3_6_TMCA,.json,3,0.003
2026_3_6_TMCA,.xlsx,3,0.024
2026_3_6_TMCA,.xml,4,23.567
2026_3_6_TMW,.jpg,16,6.464
2026_3_6_TMW,.json,1,0.0
2026_3_6_TMW,.py,1,0.051
2026_3_6_TMW,.xlsx,3,0.026
2026_3_6_TMW,.xml,16,92.038
B7FTSL8_SEM_TMW,.jpg,4,1.373
B7FTSL8_SEM_TMW,.json,1,0.0
B7FTSL8_SEM_TMW,.pdf,2,1.623
B7FTSL8_SEM_TMW,.py,2,0.062
B7FTSL8_SEM_TMW,.tif,10,140.182
B7FTSL8_SEM_TMW,.xlsx,2,0.015
B7FTSL8_SEM_TMW,.xml,1,13.408
CT_TMCA,.jpg,15,4.106
CT_TMCA,.json,6,0.011
CT_TMCA,.xlsx,3,0.028
CT_TMCA,.xml,10,58.954
Summery_plots,.csv,4,0.008
Summery_plots,.pdf,9,0.18
Summery_plots,.png,9,1.977
Summery_plots,.py,3,0.06
Summery_plots,.pyc,1,0.041
Summery_plots,.xlsx,3,0.029
TMW,.html,1,0.003
TMW,.png,1,0.231
TMW,.py,6,0.372
TMW,.txt,2,0.002
TMW_TMCA_best_comparison_outputs,.png,1,0.174
TMW_TMCA_best_comparison_outputs,.xlsx,1,0.009
TMW_test,.json,1,0.001
TMW_test,.xlsx,2,0.02
TMW_test,.xml,54,975.72
__pycache__,.1647136908064,1,0.126
__pycache__,.1847519060768,1,0.126
__pycache__,.2273427073232,1,0.126
__pycache__,.3140405338912,1,0.126
__pycache__,.pyc,4,0.363
paper,.csv,2,0.004
paper,.h5,1,0.061
paper,.md,1,0.003
paper,.pdf,1,0.028
paper,.png,9,1.831
paper,.py,8,0.583
paper,.pyc,1,0.164
scripts,.py,6,0.012
